A0A0E3KBH3	2-oxoacid:ferredoxin oxidoreductase subunit beta (OFOR) (EC 1.2.7.11)
O79882	NADH-ubiquinone oxidoreductase chain 6 (EC 7.1.1.2) (NADH dehydrogenase subunit 6)
O84835	Ribonucleoside-diphosphate reductase subunit beta (EC 1.17.4.1) (Ribonucleotide reductase small subunit)
O85674	Anthranilate 1,2-dioxygenase small subunit (EC 1.14.12.1)
O87400	Urease subunit gamma (EC 3.5.1.5) (Urea amidohydrolase subunit gamma)
O87401	Urease subunit beta (EC 3.5.1.5) (Urea amidohydrolase subunit beta)
O87402	Urease subunit alpha (EC 3.5.1.5) (Urea amidohydrolase subunit alpha)
O87681	6-hydroxypseudooxynicotine dehydrogenase complex subunit alpha (EC 1.5.99.14) (Ketone dehydrogenase medium FAD subunit)
P00422	Cytochrome c oxidase subunit 3 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide III) (Cytochrome c oxidase subunit Cox3)
P00825	ATP synthase subunit beta, chloroplastic (EC 7.1.2.2) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)
P00960	Glycine--tRNA ligase alpha subunit (EC 6.1.1.14) (Glycyl-tRNA synthetase alpha subunit) (GlyRS)
P02904	Methylmalonyl-CoA carboxyltransferase 1.3S subunit (EC 2.1.3.1) (Biotin carboxyl carrier protein of transcarboxylase) (Transcarboxylase, 1.3S subunit)
P03896	NADH-ubiquinone oxidoreductase chain 2 (EC 7.1.1.2) (NADH dehydrogenase subunit 2)
P04787	3-isopropylmalate dehydratase small subunit 1 (EC 4.2.1.33) (Alpha-IPM isomerase 1) (IPMI 1) (Isopropylmalate isomerase 1)
P05654	Aspartate carbamoyltransferase catalytic subunit (EC 2.1.3.2) (Aspartate transcarbamylase) (ATCase)
P06030	Cytochrome c oxidase subunit 3 (EC 7.1.1.9) (Cytochrome aa3 subunit 3) (Cytochrome c oxidase polypeptide III) (Oxidase aa(3) subunit 3)
P06267	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
P07677	ATP synthase subunit beta (EC 7.1.2.2) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)
P07955	Methyl-coenzyme M reductase subunit beta (EC 2.8.4.1) (Coenzyme-B sulfoethylthiotransferase beta)
P09060	2-oxoisovalerate dehydrogenase subunit alpha (EC 1.2.4.4) (Branched-chain alpha-keto acid dehydrogenase E1 component alpha chain) (BCKDH E1-alpha)
P09061	2-oxoisovalerate dehydrogenase subunit beta (EC 1.2.4.4) (Branched-chain alpha-keto acid dehydrogenase E1 component beta chain) (BCKDH E1-beta)
P09847	DNA-directed RNA polymerase subunit Rpo1C (EC 2.7.7.6) (DNA-directed RNA polymerase subunit A'')
P0A301	ATP synthase subunit beta (EC 7.1.2.2) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)
P0C6E0	Na(+)-translocating NADH-quinone reductase subunit C (Na(+)-NQR subunit C) (Na(+)-translocating NQR subunit C) (EC 7.2.1.1) (NQR complex subunit C) (NQR-1 subunit C)
P0C8N8	Cytochrome b6-f complex iron-sulfur subunit (EC 7.1.1.6) (Plastohydroquinone:plastocyanin oxidoreductase iron-sulfur protein) (ISP) (RISP) (Rieske iron-sulfur protein)
P0CB00	Urease subunit alpha (EC 3.5.1.5) (Urea amidohydrolase subunit alpha)
P0CY53	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein (DPOR subunit L) (LI-POR subunit L) (EC 1.3.7.7)
P12364	Type III restriction-modification enzyme EcoP15I Mod subunit (M.EcoP15I) (EC 2.1.1.72) (EcoP15I methyltransferase) (Type III methyltransferase M.EcoP15I)
P12858	Glyceraldehyde-3-phosphate dehydrogenase A, chloroplastic (EC 1.2.1.13) (NADP-dependent glyceraldehydephosphate dehydrogenase subunit A)
P12986	ATP synthase subunit beta (EC 7.1.2.2) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)
P13062	Periplasmic [NiFe] hydrogenase small subunit (EC 1.12.2.1) (NiFe hydrogenlyase small chain)
P13064	Periplasmic [NiFeSe] hydrogenase small subunit (EC 1.12.99.6) (NiFeSe hydrogenlyase small chain)
P13066	Periplasmic [NiFeSe] hydrogenase large subunit (EC 1.12.99.6) (NiFeSe hydrogenlyase large chain)
P13449	Nitrile hydratase subunit beta (NHase) (Nitrilase) (EC 4.2.1.84)
P14575	Cytochrome c oxidase subunit 3 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide III)
P16268	Nitrogenase iron-iron protein delta chain (EC 1.18.6.1) (Dinitrogenase 3 subunit delta) (Nitrogenase component I)
P16539	Tetracenomycin polyketide synthase ketoacyl synthase beta subunit (EC 2.3.1.235) (TCM PKS)
P16924	Prolyl 4-hydroxylase subunit alpha-1 (4-PH alpha-1) (EC 1.14.11.2) (Procollagen-proline,2-oxoglutarate-4-dioxygenase subunit alpha-1)
P17087	Urease subunit beta (EC 3.5.1.5) (Urea amidohydrolase subunit beta)
P17088	Urease subunit gamma (EC 3.5.1.5) (Urea amidohydrolase subunit gamma)
P17424	Ribonucleoside-diphosphate reductase 2 subunit beta (EC 1.17.4.1) (R2F protein) (Ribonucleotide reductase 2)
P18929	NADH-ubiquinone oxidoreductase chain 1 (EC 7.1.1.2) (NADH dehydrogenase subunit 1)
P18930	NADH-ubiquinone oxidoreductase chain 3 (EC 7.1.1.2) (NADH dehydrogenase subunit 3)
P18931	NADH-ubiquinone oxidoreductase chain 4 (EC 7.1.1.2) (NADH dehydrogenase subunit 4)
P18932	NADH-ubiquinone oxidoreductase chain 5 (EC 7.1.1.2) (NADH dehydrogenase subunit 5)
P18933	NADH-ubiquinone oxidoreductase chain 6 (EC 7.1.1.2) (NADH dehydrogenase subunit 6)
P18934	NADH-ubiquinone oxidoreductase chain 4L (EC 7.1.1.2) (NADH dehydrogenase subunit 4L)
P19045	NAD(P)H-quinone oxidoreductase subunit 3 (EC 7.1.1.-) (NAD(P)H dehydrogenase subunit 3) (NADH-plastoquinone oxidoreductase subunit 3) (NDH-1 subunit 3) (NDH-C)
P19914	Carbon monoxide dehydrogenase medium chain (CO dehydrogenase subunit M) (CO-DH M) (EC 1.2.5.3)
P19915	Carbon monoxide dehydrogenase small chain (CO dehydrogenase subunit S) (CO-DH S) (EC 1.2.5.3)
P19920	Carbon monoxide dehydrogenase medium chain (CO dehydrogenase subunit M) (CO-DH M) (EC 1.2.5.3)
P19921	Carbon monoxide dehydrogenase small chain (CO dehydrogenase subunit S) (CO-DH S) (EC 1.2.5.3)
P20161	Sulfide dehydrogenase [flavocytochrome c] flavoprotein chain (EC 1.8.2.3) (FCSD) (Flavocytochrome c flavoprotein subunit) (FC)
P21220	High-molecular weight cobalt-containing nitrile hydratase subunit beta (H-NHase) (H-nitrilase) (EC 4.2.1.84)
P21873	Pyruvate dehydrogenase E1 component subunit alpha (EC 1.2.4.1)
P21874	Pyruvate dehydrogenase E1 component subunit beta (EC 1.2.4.1)
P22317	NAD-reducing hydrogenase HoxS subunit alpha (EC 1.12.1.2)
P22319	NAD-reducing hydrogenase HoxS subunit delta (EC 1.12.1.2)
P22320	NAD-reducing hydrogenase HoxS subunit beta (EC 1.12.1.2)
P22658	NAD-reducing hydrogenase HoxS subunit alpha (EC 1.12.1.2)
P22659	NAD-reducing hydrogenase HoxS subunit gamma (EC 1.12.1.2)
P22661	NAD-reducing hydrogenase HoxS subunit beta (EC 1.12.1.2)
P22704	DNA-directed RNA polymerase subunit gamma (RNAP subunit gamma) (EC 2.7.7.6) (RNA polymerase subunit gamma) (Transcriptase subunit gamma)
P22949	Methyl-coenzyme M reductase subunit beta (EC 2.8.4.1) (Coenzyme-B sulfoethylthiotransferase beta)
P22950	Methyl-coenzyme M reductase subunit gamma (EC 2.8.4.1) (Coenzyme-B sulfoethylthiotransferase gamma)
P23494	Galactose-6-phosphate isomerase subunit LacA (EC 5.3.1.26)
P23495	Galactose-6-phosphate isomerase subunit LacB (EC 5.3.1.26)
P26175	Magnesium-chelatase 60 kDa subunit (Mg-chelatase subunit D) (EC 6.6.1.1) (Mg-protoporphyrin IX chelatase)
P26179	Chlorophyllide reductase subunit Z (EC 1.3.7.15) (Chlorin reductase subunit Z)
P26239	Magnesium-chelatase 38 kDa subunit (EC 6.6.1.1) (Mg-protoporphyrin IX chelatase)
P26269	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial (PDHE1-B) (EC 1.2.4.1)
P27067	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39)
P27763	Nitrile hydratase subunit beta (NHase) (Nitrilase) (EC 4.2.1.84)
P29379	Low-molecular weight cobalt-containing nitrile hydratase subunit beta (L-NHase) (L-nitrilase) (EC 4.2.1.84)
P29707	ATP synthase subunit beta, sodium ion specific (EC 7.2.2.1) (Na(+)-translocating ATPase subunit beta)
P29933	Aerobic cobaltochelatase subunit CobS (EC 6.6.1.2) (Hydrogenobyrinic acid a,c-diamide cobaltochelatase subunit CobS)
P31112	Heptaprenyl diphosphate synthase component 1 (HepPP synthase subunit 1) (EC 2.5.1.30) (Spore germination protein C1)
P31777	Ribosomal RNA large subunit methyltransferase J (EC 2.1.1.266) (23S rRNA (adenine(2030)-N6)-methyltransferase) (23S rRNA m6A2030 methyltransferase) (ORFJ)
P34882	Type II methyltransferase M.AquIA (M.AquiA) (EC 2.1.1.37) (Cytosine-specific methyltransferase AquI subunit alpha) (Modification methylase AquI subunit alpha) (M.AquI subunit alpha)
P34883	Type II methyltransferase M.AquIB (M.AquiB) (EC 2.1.1.37) (Cytosine-specific methyltransferase AquI subunit beta) (Modification methylase AquI subunit beta) (M.AquI subunit beta)
P34958	Quinol oxidase subunit 3 (EC 1.10.3.-) (Oxidase aa(3)-600 subunit 3) (Quinol oxidase aa3-600, subunit QoxC) (Quinol oxidase polypeptide III)
P34959	Quinol oxidase subunit 4 (EC 1.10.3.-) (Quinol oxidase aa3-600, subunit QoxD) (Quinol oxidase polypeptide IV)
P35159	Ribosomal large subunit pseudouridine synthase B (EC 5.4.99.22) (23S rRNA pseudouridine(2605) synthase) (rRNA pseudouridylate synthase B) (rRNA-uridine isomerase B)
P35488	Pyruvate dehydrogenase E1 component subunit beta (EC 1.2.4.1)
P35854	D-alanine--D-alanyl carrier protein ligase (DCL) (EC 6.2.1.54) (D-alanine--poly(phosphoribitol) ligase subunit 1) (D-alanine-activating enzyme) (DAE)
P37334	Biphenyl dioxygenase subunit beta (EC 1.14.12.18) (Biphenyl 2,3-dioxygenase)
P37468	Ribosomal RNA small subunit methyltransferase A (EC 2.1.1.182) (16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase) (16S rRNA dimethyladenosine transferase) (16S rRNA dimethylase) (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase)
P37540	DNA polymerase III subunit delta' (EC 2.7.7.7)
P37798	Biotin carboxylase (EC 6.3.4.14) (Acetyl-coenzyme A carboxylase biotin carboxylase subunit A)
P37940	2-oxoisovalerate dehydrogenase subunit alpha (EC 1.2.4.4) (Branched-chain alpha-keto acid dehydrogenase E1 component alpha chain) (BCKDH E1-alpha)
P37941	2-oxoisovalerate dehydrogenase subunit beta (EC 1.2.4.4) (Branched-chain alpha-keto acid dehydrogenase E1 component beta chain) (BCKDH E1-beta)
P39581	D-alanine--D-alanyl carrier protein ligase (DCL) (EC 6.2.1.54) (D-alanine--poly(phosphoribitol) ligase subunit 1) (D-alanine-activating enzyme) (DAE)
P41021	Urease subunit beta (EC 3.5.1.5) (Urea amidohydrolase subunit beta)
P41022	Urease subunit gamma (EC 3.5.1.5) (Urea amidohydrolase subunit gamma)
P42079	DNA-directed RNA polymerase subunit gamma (RNAP subunit gamma) (EC 2.7.7.6) (RNA polymerase subunit gamma) (Transcriptase subunit gamma)
P42116	NADH-ubiquinone oxidoreductase 17.8 kDa subunit, mitochondrial (EC 7.1.1.2) (Complex I-17.8kD) (CI-17.8kD)
P42873	Urease subunit alpha (EC 3.5.1.5) (Urea amidohydrolase subunit alpha)
P42963	5-oxoprolinase subunit A (5-OPase subunit A) (EC 3.5.2.9) (5-oxoprolinase (ATP-hydrolyzing) subunit A)
P43873	Biotin carboxylase (EC 6.3.4.14) (Acetyl-coenzyme A carboxylase biotin carboxylase subunit A)
P44910	Large ribosomal subunit assembly factor BipA (EC 3.6.5.-) (50S ribosomal subunit assembly factor BipA) (GTP-binding protein BipA)
P45104	Ribosomal large subunit pseudouridine synthase B (EC 5.4.99.22) (23S rRNA pseudouridine(2605) synthase) (rRNA pseudouridylate synthase B) (rRNA-uridine isomerase B)
P45124	Ribosomal small subunit pseudouridine synthase A (EC 5.4.99.19) (16S pseudouridylate 516 synthase) (16S rRNA pseudouridine(516) synthase) (rRNA pseudouridylate synthase A) (rRNA-uridine isomerase A)
P45413	Citrate lyase alpha chain (Citrase alpha chain) (EC 4.1.3.6) (Citrate (pro-3S)-lyase alpha chain) (Citrate CoA-transferase subunit) (EC 2.8.3.10)
P50136	2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial (EC 1.2.4.4) (Branched-chain alpha-keto acid dehydrogenase E1 component alpha chain) (BCKDE1A) (BCKDH E1-alpha)
P50621	Ribonucleoside-diphosphate reductase subunit beta (EC 1.17.4.1) (Ribonucleotide reductase small subunit)
P51634	Magnesium-chelatase subunit ChlI (EC 6.6.1.1) (Mg-protoporphyrin IX chelatase)
P52903	Pyruvate dehydrogenase E1 component subunit alpha, mitochondrial (PDHE1-A) (EC 1.2.4.1)
P54935	Glycine/sarcosine/betaine reductase complex component C subunit beta (Protein PC beta) (EC 1.21.4.2) (EC 1.21.4.3) (EC 1.21.4.4)
P56007	Succinyl-CoA:3-ketoacid coenzyme A transferase subunit B (EC 2.8.3.5) (OXCT B) (Succinyl-CoA:3-oxoacid CoA-transferase)
P56422	Molybdopterin synthase catalytic subunit (EC 2.8.1.12) (MPT synthase subunit 2) (Molybdenum cofactor biosynthesis protein E) (Molybdopterin-converting factor large subunit) (Molybdopterin-converting factor subunit 2)
P56585	Aspartate carbamoyltransferase catalytic subunit (EC 2.1.3.2) (Aspartate transcarbamylase) (ATCase)
P56632	NADH-ubiquinone oxidoreductase chain 4L (EC 7.1.1.2) (NADH dehydrogenase subunit 4L)
P58571	Magnesium-chelatase subunit ChlI (EC 6.6.1.1) (Mg-protoporphyrin IX chelatase)
P60292	DNA-directed RNA polymerase subunit Rpo10 (EC 2.7.7.6) (DNA-directed RNA polymerase subunit N)
P60497	NADH-ubiquinone oxidoreductase chain 6 (EC 7.1.1.2) (NADH dehydrogenase subunit 6)
P61779	Imidazole glycerol phosphate synthase subunit HisH (EC 4.3.2.10) (IGP synthase glutaminase subunit) (EC 3.5.1.2) (IGP synthase subunit HisH) (ImGP synthase subunit HisH) (IGPS subunit HisH)
P62450	Imidazole glycerol phosphate synthase subunit HisF (EC 4.3.2.10) (IGP synthase cyclase subunit) (IGP synthase subunit HisF) (ImGP synthase subunit HisF) (IGPS subunit HisF)
P65401	Molybdopterin synthase catalytic subunit (EC 2.8.1.12) (MPT synthase subunit 2) (Molybdenum cofactor biosynthesis protein E) (Molybdopterin-converting factor large subunit) (Molybdopterin-converting factor subunit 2)
P71730	Probable DNA polymerase III subunit delta (EC 2.7.7.7)
P73297	DNA-directed RNA polymerase subunit alpha (RNAP subunit alpha) (EC 2.7.7.6) (RNA polymerase subunit alpha) (Transcriptase subunit alpha)
P74177	DNA-directed RNA polymerase subunit gamma (RNAP subunit gamma) (EC 2.7.7.6) (RNA polymerase subunit gamma) (Transcriptase subunit gamma)
P74207	3-isopropylmalate dehydratase small subunit (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase)
P74352	DNA-directed RNA polymerase subunit omega (RNAP omega subunit) (EC 2.7.7.6) (RNA polymerase omega subunit) (Transcriptase subunit omega)
P75390	Pyruvate dehydrogenase E1 component subunit alpha (EC 1.2.4.1)
P75436	Type I restriction enzyme MpnII methylase subunit (M protein) (EC 2.1.1.72) (Type I methyltransferase M.MpnII) (M.MpnII)
P75564	Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS)
P75745	5-oxoprolinase subunit C (5-OPase subunit C) (EC 3.5.2.9) (5-oxoprolinase (ATP-hydrolyzing) subunit C)
P76254	Carnitine monooxygenase reductase subunit (EC 1.14.13.239) (Carnitine monooxygenase beta subunit)
P77837	Urease subunit alpha (EC 3.5.1.5) (Urea amidohydrolase subunit alpha)
P77918	Aspartate carbamoyltransferase catalytic subunit (EC 2.1.3.2) (Aspartate transcarbamylase) (ATCase)
P77921	Cytochrome c oxidase subunit 4 (EC 7.1.1.9) (Cytochrome aa3 subunit 4) (Cytochrome c oxidase polypeptide IV)
P80261	NADH dehydrogenase [ubiquinone] iron-sulfur protein 3 (EC 7.1.1.2) (Complex I-27kD) (CI-27kD) (NADH dehydrogenase subunit 9) (NADH-ubiquinone oxidoreductase 27 kDa subunit)
P80357	Arginine N-succinyltransferase subunit alpha (ARUAI) (EC 2.3.1.109) (AOST) (AST)
P80358	Arginine N-succinyltransferase subunit beta (EC 2.3.1.109) (AOST) (AST) (ARUAII)
P80490	Coenzyme F420 hydrogenase subunit beta (EC 1.12.98.1) (8-hydroxy-5-deazaflavin-reducing hydrogenase subunit beta) (FRH)
P80522	Pyruvate synthase subunit PorB (EC 1.2.7.1) (Pyruvate oxidoreductase beta chain) (POR) (Pyruvic-ferredoxin oxidoreductase subunit beta)
P80564	Pyrogallol hydroxytransferase small subunit (EC 1.97.1.2) (Transhydroxylase subunit beta)
P80651	Tetrahydromethanopterin S-methyltransferase subunit E (EC 7.2.1.4) (N5-methyltetrahydromethanopterin--coenzyme M methyltransferase subunit E)
P80653	Tetrahydromethanopterin S-methyltransferase subunit D (EC 7.2.1.4) (N5-methyltetrahydromethanopterin--coenzyme M methyltransferase subunit D)
P80655	Tetrahydromethanopterin S-methyltransferase subunit B (EC 7.2.1.4) (N5-methyltetrahydromethanopterin--coenzyme M methyltransferase subunit B)
P80656	Tetrahydromethanopterin S-methyltransferase subunit G (EC 7.2.1.4) (N5-methyltetrahydromethanopterin--coenzyme M methyltransferase subunit G)
P80658	ATP synthase subunit beta, chloroplastic (EC 7.1.2.2) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)
P80858	3-isopropylmalate dehydratase large subunit (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase) (Superoxide-inducible protein 10) (SOI10)
P80865	Succinate--CoA ligase [ADP-forming] subunit alpha (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)
P80900	Pyruvate synthase subunit PorA (EC 1.2.7.1) (Pyruvate oxidoreductase alpha chain) (POR) (Pyruvic-ferredoxin oxidoreductase subunit alpha)
P80901	Pyruvate synthase subunit PorB (EC 1.2.7.1) (Pyruvate oxidoreductase beta chain) (POR) (Pyruvic-ferredoxin oxidoreductase subunit beta)
P80904	2-oxoglutarate synthase subunit KorA (EC 1.2.7.3) (2-ketoglutarate oxidoreductase alpha chain) (KOR) (2-oxoglutarate-ferredoxin oxidoreductase subunit alpha)
P80905	2-oxoglutarate synthase subunit KorB (EC 1.2.7.3) (2-ketoglutarate oxidoreductase beta chain) (KOR) (2-oxoglutarate-ferredoxin oxidoreductase subunit beta)
P80908	Ketoisovalerate oxidoreductase subunit VorB (VOR) (EC 1.2.7.7) (2-oxoisovalerate ferredoxin reductase subunit beta) (2-oxoisovalerate oxidoreductase beta chain)
P80909	Ketoisovalerate oxidoreductase subunit VorC (VOR) (EC 1.2.7.7) (2-oxoisovalerate ferredoxin reductase subunit gamma) (2-oxoisovalerate oxidoreductase gamma chain)
P80910	Indolepyruvate oxidoreductase subunit IorA (IOR) (EC 1.2.7.8) (Indolepyruvate ferredoxin oxidoreductase subunit alpha)
P80911	Indolepyruvate oxidoreductase subunit IorB (IOR) (EC 1.2.7.8) (Indolepyruvate ferredoxin oxidoreductase subunit beta)
P81080	Ribulose bisphosphate carboxylase large chain (RuBisCO large subunit) (EC 4.1.1.39) (Water stress-responsive protein 1/2/14)
P82134	Pyridoxal 5'-phosphate synthase subunit PdxS (PLP synthase subunit PdxS) (EC 4.3.3.6) (Pdx1)
P82543	Cytochrome c oxidase polypeptide 2A (EC 7.1.1.9) (Cytochrome c ba(3) subunit IIA) (Cytochrome c oxidase polypeptide IIA) (Cytochrome cba3 subunit 2A)
P83451	N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase (EC 3.5.1.26) (Aspartylglucosaminidase) (AGA) (Glycosylasparaginase) (N4-(N-acetyl-beta-glucosaminyl)-L-asparagine amidase) [Cleaved into: Glycosylasparaginase alpha chain (AGA subunit alpha) (p18); Glycosylasparaginase beta chain (AGA subunit beta) (p30)]
P83505	ATP synthase subunit beta, chloroplastic (EC 7.1.2.2) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)
P84582	ATP synthase subunit alpha, chloroplastic (EC 7.1.2.2) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha)
P85088	ATP synthase subunit beta, mitochondrial (EC 7.1.2.2)
P85446	ATP synthase subunit beta, mitochondrial (EC 7.1.2.2)
P85835	Ferritin, middle subunit (Ferritin M) (EC 1.16.3.1)
P85836	Ferritin, liver middle subunit (Ferritin M) (EC 1.16.3.1)
P85837	Ferritin, heavy subunit (Ferritin H) (EC 1.16.3.1)
P85838	Ferritin, heavy subunit (Ferritin H) (EC 1.16.3.1)
P85839	Ferritin, spleen middle subunit (Ferritin M) (EC 1.16.3.1)
P86203	NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial (EC 7.1.1.2) (Complex I-75kD) (CI-75kD)
P86205	V-type proton ATPase catalytic subunit A (V-ATPase subunit A) (EC 7.1.2.2) (V-ATPase 69 kDa subunit) (Vacuolar proton pump subunit alpha)
P86222	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial (PDHE1-B) (EC 1.2.4.1)
P86225	Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial (EC 1.1.1.41) (Isocitric dehydrogenase subunit alpha) (NAD(+)-specific ICDH subunit alpha)
P86226	Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial (EC 6.2.1.5) (ATP-specific succinyl-CoA synthetase subunit beta) (A-SCS) (Succinyl-CoA synthetase beta-A chain) (SCS-betaA)
P86250	NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial (EC 7.1.1.2) (Complex I-49kD) (CI-49kD) (NADH-ubiquinone oxidoreductase 49 kDa subunit)
P86885	Alcohol dehydrogenase 1 (EC 1.1.1.1) (Alcohol dehydrogenase A subunit)
P94679	Toluene-4-sulfonate monooxygenase system iron-sulfur subunit TsaM1 (EC 1.14.14.-) (TS methylmonooxygenase system, oxygenase M) (Toluenesulfonate methyl-monooxygenase oxygenase component TsaM1)
P97052	Nitrile hydratase subunit beta (NHase) (Nitrilase) (EC 4.2.1.84)
P98052	Cytochrome c oxidase subunit 2 (EC 7.1.1.9) (Cytochrome c ba(3) subunit II) (Cytochrome c oxidase polypeptide II) (Cytochrome cba3 subunit 2)
P99107	D-alanine--D-alanyl carrier protein ligase (DCL) (EC 6.2.1.54) (D-alanine--poly(phosphoribitol) ligase subunit 1) (D-alanine-activating enzyme) (DAE)
P99166	Phosphoribosylformylglycinamidine synthase subunit PurQ (FGAM synthase) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase subunit I) (FGAR amidotransferase I) (FGAR-AT I) (Glutaminase PurQ) (EC 3.5.1.2) (Phosphoribosylformylglycinamidine synthase subunit I)
P99168	Probable glycine dehydrogenase (decarboxylating) subunit 2 (EC 1.4.4.2) (Glycine cleavage system P-protein subunit 2) (Glycine decarboxylase subunit 2) (Glycine dehydrogenase (aminomethyl-transferring) subunit 2)
P99507	Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial (EC 6.2.1.5) (ATP-specific succinyl-CoA synthetase subunit beta) (A-SCS) (Succinyl-CoA synthetase beta-A chain) (SCS-betaA)
P9WFU3	Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS)
P9WGC7	Succinate--CoA ligase [ADP-forming] subunit alpha (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)
P9WH07	Ribosomal RNA small subunit methyltransferase A (EC 2.1.1.182) (16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase) (16S rRNA dimethyladenosine transferase) (16S rRNA dimethylase) (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase)
P9WH73	Ribonucleoside-diphosphate reductase subunit beta nrdF1 (EC 1.17.4.1) (Ribonucleotide reductase R2-1 small subunit) (Ribonucleotide reductase small subunit 1)
P9WHL5	Phosphoribosylformylglycinamidine synthase subunit PurQ (FGAM synthase) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase subunit I) (FGAR amidotransferase I) (FGAR-AT I) (Glutaminase PurQ) (EC 3.5.1.2) (Phosphoribosylformylglycinamidine synthase subunit I)
P9WIV7	NADH-quinone oxidoreductase subunit F (EC 7.1.1.-) (NADH dehydrogenase I subunit F) (NDH-1 subunit F)
P9WIW5	NADH-quinone oxidoreductase subunit M (EC 7.1.1.-) (NADH dehydrogenase I subunit M) (NDH-1 subunit M)
P9WJR1	Molybdopterin synthase catalytic subunit 2 (EC 2.8.1.12) (MPT synthase subunit 2 2) (Molybdenum cofactor biosynthesis protein E 2) (Molybdopterin-converting factor large subunit 2) (Molybdopterin-converting factor subunit 2 2)
P9WJR3	Molybdopterin synthase catalytic subunit 1 (EC 2.8.1.12) (MPT synthase subunit 2 1) (Molybdenum cofactor biosynthesis protein E 1) (Molybdopterin-converting factor large subunit 1) (Molybdopterin-converting factor subunit 2 1)
P9WMM1	Imidazole glycerol phosphate synthase subunit HisH (EC 4.3.2.10) (IGP synthase glutaminase subunit) (EC 3.5.1.2) (IGP synthase subunit HisH) (ImGP synthase subunit HisH) (IGPS subunit HisH)
P9WMM3	Imidazole glycerol phosphate synthase subunit HisF (EC 4.3.2.10) (IGP synthase cyclase subunit) (IGP synthase subunit HisF) (ImGP synthase subunit HisF) (IGPS subunit HisF)
P9WN89	Fumarate reductase iron-sulfur subunit (EC 1.3.5.1) (Quinol-fumarate reductase iron-sulfur subunit) (QFR iron-sulfur subunit)
P9WN91	Fumarate reductase flavoprotein subunit (EC 1.3.5.1) (Quinol-fumarate reductase flavoprotein subunit) (QFR flavoprotein subunit)
P9WP35	Cytochrome bc1 complex cytochrome c subunit (EC 7.1.1.8) (Cytochrome bc1 reductase complex subunit QcrC) (Ubiquinol--cytochrome c reductase cytochrome c subunit)
P9WP71	Probable cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Cytochrome aa3 subunit 1) (Cytochrome c oxidase polypeptide I)
P9WQF5	3-isopropylmalate dehydratase large subunit (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase)
Q02854	NADH-ubiquinone oxidoreductase 20.9 kDa subunit (EC 7.1.1.2) (Complex I-20.9kD) (CI-20.9kD)
Q02PF8	Na(+)-translocating NADH-quinone reductase subunit F (Na(+)-NQR subunit F) (Na(+)-translocating NQR subunit F) (EC 7.2.1.1) (NQR complex subunit F) (NQR-1 subunit F)
Q03440	Cytochrome c oxidase subunit 4B (EC 7.1.1.9) (Cytochrome aa3 subunit 4B) (Cytochrome c oxidase polypeptide IVB)
Q03505	Alcohol dehydrogenase 1 (EC 1.1.1.1) (Alcohol dehydrogenase subunit alpha)
